Name,Latitude,Longitude
Dortmund Hbf,51.517898,7.459293
Drauffelt,50.017778,6.006106
Drongen,51.047295,3.655202
Duesseldorf Flughafen (DE),51.27656,6.767052
Duffel,51.091243,4.493186
Duinbergen,51.338195,3.263587
Duisburg Hbf,51.42978,6.7759037
Düsseldorf Flughafen Hbf,51.292008,6.786837
Düsseldorf Hbf,51.219178,6.795297
Ebbsfleet International,51.45117,0.275775
Ede,50.911054,3.987524
Edingen,50.697273,4.047357
Eeklo,51.181333,3.574515
Eerken,50.754345,4.662444
Eichem,50.823994,3.993745
Eigenbrakel,50.684778,4.375526
Eijsden,50.772135,5.709786
Eine,50.870432,3.623776
Eke-Nazareth,50.960774,3.627839
Ekeren,51.281626,4.434154
Engis,50.582957,5.401986
Eppegem,50.9584,4.45749
Erbisoeul,50.507025,3.887987
Erembodegem,50.919621,4.055447
Ernage,50.590823,4.668538
Erpe-Mere,50.928601,3.962463
Erps-Kwerps,50.89651,4.585001
Erquelinnes,50.304192,4.113562
Erquelinnes-Frontière,50.30233,4.107929
Erquelinnes-Village,50.310179,4.132314
Esneux,50.530568,5.572565
Essen,51.462767,4.451314
Essen Hbf,51.42952,6.776118
Essen-Grens,51.46909,4.44893
Essene-Lombeek,50.882451,4.115171
Ettelbruck,49.847496,6.104169
Etterbeek,50.822187,4.389513
Eupen,50.635157,6.03711
Evere,50.86778,4.400965
Evergem,51.107585,3.70138
Ezemaal,50.772126,4.994217
Familleureux,50.519358,4.211581
Farciennes,50.429148,4.55265
Faux,50.621826,4.54926
Fexhe-le-Haut-Clocher,50.664049,5.398453
Flawinne,50.456236,4.806298
Flemalle-Grande,50.605349,5.480983
Flemalle-Haute,50.595308,5.457656
Fleurus,50.481927,4.543741
Floreffe,50.443328,4.762368
Florenville,49.706967,5.331115
Florival,50.761501,4.653868
Florée,50.357786,5.056099
Fontaine-Valmont,50.321164,4.212785
Forchies,50.433314,4.325384
Forrières,50.132759,5.276784
Fraipont,50.565059,5.723665
Frameries,50.405932,3.906586
Franchimont,50.525723,5.822223
Franière,50.439543,4.733548
Frankfurt am Main Flughafen Fernbf,50.13083,8.663611
Frankfurt am Main Flughafen Reginalbf,50.051696,8.569853
Frankfurt am Main Hbf,50.1071318,8.6653708
Froyennes,50.62989,3.354837
Galmaarden,50.743918,3.965726
Gastuche,50.736646,4.649598
Gavere-Asper,50.930021,3.639732
Gedinne,49.984123,4.978073
Geel,51.168955,4.988608
Gembloux,50.570489,4.691497
Gendron-Celles,50.211235,4.964607
Genk,50.967057,5.497685
Genly,50.390642,3.911638
Gent-Dampoort,51.056365,3.740591
Gent-Sint-Pieters,51.035896,3.710675
Gentbrugge,51.038647,3.756322
Genval,50.725697,4.514832
Geraardsbergen,50.771137,3.872328
Ghlin,50.487411,3.906343
Glaaien,50.750426,5.535431
Godarville,50.492795,4.290308
Godinne,50.348914,4.86996
Goebelsmühle,49.92104,6.053335
Gontrode,50.980199,3.801672
Gouvy,50.189409,5.953906
Gouvy-Frontiere,50.171653,5.968613
Gouy-lez-Pieton,50.497065,4.325123
Graide,49.934134,5.043047
Groenendaal,50.766103,4.449489
Groot-Bijgaarden,50.868337,4.273543
Grupont,50.0906,5.280524
Haacht,50.966428,4.613309
Haaltert,50.906838,4.023958
Habay,49.718249,5.632685
Hainin,50.428019,3.766893
Halanzy,49.5562,5.741347
Halle,50.733931,4.240634
Ham-sur-Heure,50.319555,4.404696
Ham-sur-Sambre,50.45255,4.669392
Hambos,50.944251,4.66301
Hamoir,50.428181,5.533561
Hamont,51.246424,5.543279
Hansbeke,51.073202,3.536212
Harchies,50.482565,3.698764
Harelbeke,50.85586,3.314008
Haren,50.888878,4.419978
Haren-Zuid,50.889696,4.415357
Hasselt,50.930822,5.327627
Haute-Flône,50.55349,5.330333
Haute-Picardie TGV,49.85894,2.49565
Haversin,50.249044,5.194371
Havre,50.470754,4.059987
Heide,51.364623,4.460483
Heist,51.333979,3.239181
Heist-op-den-Berg,51.074146,4.708235
Heizijde,50.989593,4.156171
Hellemmes,50.626941,3.108892
Hemiksem,51.136243,4.338293
Hennuyères,50.651005,4.175893
Herent,50.90353,4.672188
Herentals,51.181513,4.829535
Hergenrath,50.718209,6.041335
Hergenrath-Frontiere,50.718955,6.041269
Herne,50.723701,4.014573
Herseaux,50.713894,3.245959
Herstal,50.660911,5.622761
Herzele,50.89722,3.880616
Heusden,51.038207,5.281782
Hever,50.997791,4.537637
Heverlee,50.86253,4.6952
Hillegem,50.891296,3.857469
Hoboken-Polder,51.182699,4.347785
Hoei,50.527242,5.234211
Hoeilaart,50.760161,4.467414
